method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tsp_mapd,kiva,80,6,4,2600,1077.6567481880702,3206.7541043231063,355.7810789789073,1.7700551192980463,0.11090432636499604,1300,2600
tp_tsp,kiva,80,6,4,2600,935.4076126983502,2878.7474384290804,560.6781037640758,2.7894433023088347,0.1946798971403041,1300,2600
rgta_eff,kiva,80,6,4,2600,699.4930792030642,2413.8268264518206,5734.743338020053,28.53106138318434,2.3746349225755914,1300,2600
tp,kiva,80,9,0,2600,1226.3173124118412,3529.282980484141,1759.201203181874,0.9950233049671233,0.49821614363689437,2600,2600
tsp_mapd,kiva,80,9,0,2600,995.3726023105997,3323.6131403730537,2968.2306220929604,14.767316527825674,0.8927009389753264,1000,2600
tp_tsp,kiva,80,9,0,2600,895.8020804420156,2969.8976056371653,3301.2519277981482,16.424138944269394,1.111158508178441,1000,2600
rgta_eff,kiva,80,9,0,2600,612.0017209770134,2608.4947280166666,10184.840684814844,50.6708491781833,3.9022378102738866,1000,2600
tp,kiva,80,9,1,2600,1229.9844210434212,3604.6184886171236,1763.7410230236128,0.9970271469890406,0.489112873827957,2600,2600
tsp_mapd,kiva,80,9,1,2600,976.6777585435473,3117.7002544470297,2901.9448420149274,14.43753652743745,0.9304087342144686,1000,2600
tp_tsp,kiva,80,9,1,2600,899.2946379324117,3119.8606043511345,3271.304182620952,16.275145187168913,1.048158981935582,1000,2600
rgta_eff,kiva,80,9,1,2600,597.1650159418409,2463.598317306837,10155.938645882998,50.52705793971641,4.12005624579432,1000,2600
tp,kiva,80,9,2,2600,1220.938210658527,3578.892420857707,1766.9290271296632,1.0016604462186298,0.493555594170297,2600,2600
tsp_mapd,kiva,80,9,2,2600,973.3208819406385,3249.6358089675127,2889.748526067706,14.376858338645302,0.8888798911312538,1000,2600
tp_tsp,kiva,80,9,2,2600,913.0757289978312,3147.8566073086727,3254.8852009058464,16.19345871097436,1.0336250241047464,1000,2600
rgta_eff,kiva,80,9,2,2600,598.9362906539548,2472.3529280680164,10268.048313824693,51.084817481714886,4.150383311974411,1000,2600
tp,kiva,80,9,3,2600,1242.3000204304235,3684.2146811744715,1773.0034461128525,1.000566278844725,0.48101015901054056,2600,2600
tsp_mapd,kiva,80,9,3,2600,967.1794083165897,3108.7044064804113,2953.081688901875,14.691948701004353,0.9495439514153939,1000,2600
tp_tsp,kiva,80,9,3,2600,902.8702698364009,3085.227059942379,3288.560515939025,16.360997591736442,1.0652933320178248,1000,2600
rgta_eff,kiva,80,9,3,2600,611.0135637233789,2561.4835315537894,10185.130125231808,50.67228918025775,3.9739095299382785,1000,2600
tp,kiva,80,9,4,2600,1229.065887036938,3680.623689075102,1799.1456812305842,1.0147465771182087,0.4886327216813102,2600,2600
tsp_mapd,kiva,80,9,4,2600,982.548216017487,3291.186054037623,2863.398802030133,14.245765184229517,0.8695410877710699,1000,2600
tp_tsp,kiva,80,9,4,2600,898.6845955829077,3281.445806265895,3316.8616829789244,16.501799417805593,1.0103142500697302,1000,2600
rgta_eff,kiva,80,9,4,2600,602.0747716286676,2524.403810352248,10223.049476073356,50.86094266703162,4.047129642150972,1000,2600
tp,sorting,100,6,0,2600,2275.045572124221,5899.685819573983,2749.1808784543537,1.757788285456748,0.4658838973825375,2600,2600
tsp_mapd,sorting,100,6,0,2600,1974.937321343966,4957.744806010329,351.8546149425674,1.7505204723510817,0.07095273541894886,1300,2600
tp_tsp,sorting,100,6,0,2600,1749.85217273331,4800.8392588593915,573.6637540685479,2.8540485277042182,0.11946350563693209,1300,2600
rgta_eff,sorting,100,6,0,2600,1247.9351233692978,3898.046487877494,6152.485878672451,30.609382480957468,1.5775604817108848,1300,2600
tp,sorting,100,6,1,2600,2242.532961779993,5874.490670558297,2740.0362227053847,1.739705538225641,0.46630977241412264,2600,2600
tsp_mapd,sorting,100,6,1,2600,1967.8774509725042,4981.768730104717,354.10391687764786,1.7617110292420293,0.07106239552029858,1300,2600
tp_tsp,sorting,100,6,1,2600,1704.2843108399657,4444.778376420831,574.4511858792976,2.857966098901978,0.12920629461972505,1300,2600
rgta_eff,sorting,100,6,1,2600,1228.267338770484,3859.5243058362967,6145.813603885472,30.576187084007323,1.5917673151736524,1300,2600
tp,sorting,100,6,2,2600,2294.2122978097987,5853.465849258367,2745.638886670349,1.7355492330406759,0.4689391779112467,2600,2600
tsp_mapd,sorting,100,6,2,2600,1962.7090946299052,4814.065866132788,352.8648053179495,1.7555462951141767,0.07326927020721542,1300,2600
tp_tsp,sorting,100,6,2,2600,1755.2769099129443,4550.805034871816,580.1214529201388,2.8861763826872577,0.12744320143236793,1300,2600
rgta_eff,sorting,100,6,2,2600,1242.000981473749,3919.6383929456174,6155.4378102882765,30.624068707901873,1.5698642719429423,1300,2600
tp,sorting,100,6,3,2600,2257.3311258237522,5829.169323209009,2779.326813091757,1.764651944820163,0.476646683774954,2600,2600
tsp_mapd,sorting,100,6,3,2600,1957.4117015110246,5003.071212772695,351.2778350850567,1.7476509208211777,0.07018538163537597,1300,2600
tp_tsp,sorting,100,6,3,2600,1738.9993514580265,4758.050054383708,574.9285920464899,2.8603412539626367,0.12078331765682562,1300,2600
rgta_eff,sorting,100,6,3,2600,1227.0704127054785,3846.213983577877,6169.4605402008165,30.693833533337397,1.6032901611748485,1300,2600
tp,sorting,100,6,4,2600,2282.3308842911115,5947.972472327035,2732.121229026234,1.741313721495369,0.4592572245799687,2600,2600
tsp_mapd,sorting,100,6,4,2600,1965.6716415226917,4807.247504210483,353.11535306391306,1.7567928013130003,0.07342802101557767,1300,2600
tp_tsp,sorting,100,6,4,2600,1737.9256867752822,4426.542126527329,576.1973430344369,2.866653447932522,0.13012586789395594,1300,2600
rgta_eff,sorting,100,6,4,2600,1250.5466518323647,3899.6963985330062,6152.489578991663,30.609400890505785,1.577157031271895,1300,2600
tp,sorting,100,9,0,2600,2250.2196544528233,5872.966760020774,2855.4136838647537,1.8141128868264,0.4861106033137136,2600,2600
tsp_mapd,sorting,100,9,0,2600,1863.0429295770048,5065.504957820406,2860.7551348104607,14.232612610997316,0.5645855801875785,1000,2600
tp_tsp,sorting,100,9,0,2600,1698.4108036594052,5031.276295398043,3323.4923987765796,16.534788053614825,0.660340234209533,1000,2600
rgta_eff,sorting,100,9,0,2600,1191.3280075704354,4320.792584481513,11043.595761962933,54.94326249732803,2.5552049426105814,1000,2600
tp,sorting,100,9,1,2600,2223.818738842647,5759.757690614662,2944.5821389963385,1.861303501261908,0.5111234402007183,2600,2600
tsp_mapd,sorting,100,9,1,2600,1851.9077469841452,5073.355511248743,2899.722458823817,14.426479894645855,0.5713738835120822,1000,2600
tp_tsp,sorting,100,9,1,2600,1693.5032148339674,4757.988735701094,3299.1468909895048,16.413666124325893,0.6932437257805221,1000,2600
rgta_eff,sorting,100,9,1,2600,1182.150580873779,4278.433757628135,10918.790310737677,54.322339854416306,2.5511192314807656,1000,2600
tp,sorting,100,9,2,2600,2273.678774887546,5708.986087334858,2900.942929292796,1.8244924083602492,0.5080460471616105,2600,2600
tsp_mapd,sorting,100,9,2,2600,1874.0877295643836,5256.890655871493,2946.0191071557347,14.65681147838674,0.5602927172224677,1000,2600
tp_tsp,sorting,100,9,2,2600,1714.1948709548103,4850.1803645086,3303.9769271272235,16.437696154861808,0.6809515513452645,1000,2600
rgta_eff,sorting,100,9,2,2600,1205.523626248732,4200.840320691906,10911.846546106972,54.28779376172623,2.5968221194923777,1000,2600
tp,sorting,100,9,3,2600,2235.617991374738,5819.764774882747,2885.8525572286453,1.8288039019192937,0.4957657717279927,2600,2600
tsp_mapd,sorting,100,9,3,2600,1860.1329512005352,5103.3365922043595,2883.6355859821197,14.34644570140358,0.5648649531796512,1000,2600
tp_tsp,sorting,100,9,3,2600,1683.9409081137396,4835.972433017818,3255.10188829503,16.194536757686716,0.6729588357029213,1000,2600
rgta_eff,sorting,100,9,3,2600,1130.1096294066422,4455.759030298828,10985.605254129041,54.65475250810468,2.4647981274689346,1000,2600
tp,sorting,100,9,4,2600,2263.421115074639,5893.365172818912,2855.092530953698,1.8081649974374274,0.48432443273175535,2600,2600
tsp_mapd,sorting,100,9,4,2600,1845.828319376712,5154.31035688063,2862.7605586952996,14.242589844255221,0.5552289679393522,1000,2600
tp_tsp,sorting,100,9,4,2600,1701.189821453741,4975.779501608236,3288.0647219135426,16.358530954793743,0.6606519433219896,1000,2600
rgta_eff,sorting,100,9,4,2600,1174.763074598079,4391.5111057177755,10897.070566716138,54.21428142644845,2.4805532817473566,1000,2600
tp,sorting,40,6,0,2600,5853.764436180788,13365.84951730628,2584.6175508922897,1.100305470792801,0.19335808714687586,2600,2600
tsp_mapd,sorting,40,6,0,2600,5035.299972170504,10955.972622343419,484.02888563578017,0.4614193380703338,0.0441753112745989,1300,2600
